,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,GP_RANK_RANK,W_RANK_RANK,L_RANK_RANK,W_PCT_RANK_RANK,MIN_RANK_RANK,FGM_RANK_RANK,FGA_RANK_RANK,FG_PCT_RANK_RANK,FG3M_RANK_RANK,FG3A_RANK_RANK,FG3_PCT_RANK_RANK,FTM_RANK_RANK,FTA_RANK_RANK,FT_PCT_RANK_RANK,OREB_RANK_RANK,DREB_RANK_RANK,REB_RANK_RANK,AST_RANK_RANK,TOV_RANK_RANK,STL_RANK_RANK,BLK_RANK_RANK,BLKA_RANK_RANK,PF_RANK_RANK,PFD_RANK_RANK,PTS_RANK_RANK,PLUS_MINUS_RANK_RANK
2000-01,1.0,1.0,29.0,1.0,13.0,19.0,27.0,4.0,10.0,15.0,1.0,4.0,1.0,25.0,24.0,1.0,9.0,16.0,23.0,24.0,1.0,15.0,29.0,22.0,12.0,1.0,1.0,29.0,1.0,29.0,14.0,11.0,3.0,26.0,20.0,15.0,29.0,26.0,29.0,5.0,6.0,29.0,21.0,14.0,7.0,6.0,29.0,14.0,1.0,4.0,18.0,29.0
2001-02,1.0,5.0,25.0,5.0,8.0,8.0,9.0,14.0,17.0,14.0,22.0,20.0,17.0,24.0,12.0,11.0,8.0,3.0,15.0,4.0,6.0,11.0,18.0,10.0,13.0,5.0,1.0,25.0,5.0,25.0,17.0,22.0,21.0,15.0,13.0,15.0,8.0,9.0,13.0,6.0,18.0,19.0,22.0,27.0,15.0,26.0,24.0,18.0,12.0,14.0,17.0,25.0
2002-03,1.0,1.0,28.0,1.0,14.0,16.0,27.0,4.0,11.0,11.0,11.0,10.0,6.0,26.0,21.0,6.0,11.0,22.0,6.0,17.0,1.0,12.0,25.0,22.0,12.0,3.0,1.0,28.0,1.0,28.0,11.0,14.0,3.0,26.0,19.0,19.0,19.0,20.0,24.0,4.0,9.0,24.0,18.0,8.0,23.0,13.0,29.0,18.0,5.0,6.0,18.0,27.0
2003-04,1.0,1.0,29.0,1.0,15.0,23.0,25.0,18.0,9.0,11.0,9.0,11.0,14.0,11.0,17.0,16.0,18.0,12.0,21.0,6.0,11.0,2.0,21.0,4.0,20.0,3.0,1.0,29.0,1.0,29.0,12.0,7.0,5.0,11.0,21.0,19.0,21.0,19.0,16.0,19.0,13.0,14.0,12.0,18.0,9.0,24.0,19.0,28.0,9.0,22.0,10.0,27.0
2004-05,1.0,2.0,28.0,2.0,2.0,3.0,26.0,1.0,14.0,16.0,3.0,13.0,2.0,30.0,25.0,2.0,7.0,11.0,22.0,28.0,6.0,30.0,20.0,29.0,4.0,3.0,1.0,28.0,2.0,28.0,29.0,28.0,4.0,30.0,17.0,15.0,28.0,18.0,29.0,1.0,5.0,29.0,24.0,20.0,9.0,3.0,25.0,1.0,11.0,1.0,27.0,28.0
2005-06,1.0,2.0,29.0,2.0,24.0,8.0,20.0,3.0,10.0,16.0,2.0,29.0,29.0,28.0,23.0,7.0,12.0,10.0,24.0,23.0,6.0,25.0,26.0,29.0,21.0,1.0,1.0,29.0,2.0,29.0,5.0,22.0,11.0,27.0,21.0,15.0,29.0,2.0,2.0,3.0,8.0,24.0,19.0,20.0,7.0,8.0,25.0,6.0,5.0,2.0,10.0,30.0
2006-07,1.0,4.0,27.0,4.0,8.0,18.0,17.0,20.0,23.0,19.0,26.0,19.0,22.0,7.0,10.0,24.0,18.0,13.0,30.0,17.0,1.0,30.0,25.0,28.0,21.0,6.0,1.0,27.0,4.0,27.0,19.0,13.0,14.0,11.0,8.0,12.0,5.0,12.0,9.0,24.0,21.0,7.0,13.0,18.0,1.0,13.0,29.0,1.0,5.0,3.0,10.0,25.0
2007-08,1.0,1.0,30.0,1.0,22.0,20.0,30.0,4.0,8.0,12.0,5.0,8.0,9.0,8.0,23.0,9.0,12.0,8.0,4.0,5.0,18.0,15.0,5.0,8.0,11.0,1.0,1.0,30.0,1.0,30.0,7.0,10.0,1.0,27.0,23.0,19.0,26.0,23.0,22.0,23.0,8.0,22.0,18.0,22.0,27.0,26.0,13.0,16.0,26.0,23.0,20.0,30.0
2008-09,1.0,2.0,29.0,2.0,21.0,2.0,4.0,4.0,17.0,15.0,19.0,11.0,8.0,14.0,3.0,6.0,1.0,2.0,20.0,2.0,10.0,17.0,14.0,8.0,3.0,2.0,1.0,29.0,2.0,29.0,8.0,29.0,27.0,27.0,14.0,16.0,12.0,20.0,23.0,17.0,28.0,25.0,30.0,29.0,11.0,29.0,20.0,14.0,17.0,23.0,28.0,29.0
2009-10,1.0,3.0,28.0,3.0,12.0,9.0,7.0,18.0,13.0,10.0,23.0,17.0,17.0,12.0,4.0,4.0,2.0,15.0,25.0,11.0,16.0,21.0,27.0,12.0,12.0,6.0,1.0,28.0,3.0,28.0,17.0,21.0,23.0,13.0,18.0,21.0,7.0,14.0,14.0,19.0,27.0,27.0,29.0,15.0,6.0,20.0,14.0,9.0,4.0,19.0,19.0,25.0
2010-11,1.0,2.0,29.0,2.0,20.0,5.0,16.0,4.0,4.0,7.0,1.0,11.0,14.0,14.0,23.0,9.0,12.0,8.0,25.0,14.0,18.0,19.0,28.0,17.0,6.0,4.0,1.0,29.0,2.0,29.0,5.0,26.0,15.0,26.0,26.0,24.0,30.0,20.0,17.0,17.0,8.0,22.0,19.0,23.0,6.0,16.0,13.0,12.0,3.0,14.0,25.0,27.0
2011-12,1.0,1.0,29.0,1.0,16.0,1.0,7.0,1.0,2.0,7.0,1.0,18.0,17.0,19.0,25.0,5.0,9.0,4.0,28.0,20.0,24.0,14.0,28.0,21.0,2.0,2.0,1.0,29.0,1.0,29.0,9.0,30.0,24.0,30.0,29.0,24.0,30.0,13.0,14.0,12.0,6.0,26.0,22.0,27.0,3.0,11.0,6.0,16.0,3.0,10.0,29.0,29.0
2012-13,1.0,2.0,29.0,2.0,12.0,8.0,28.0,2.0,14.0,16.0,3.0,1.0,2.0,1.0,25.0,3.0,6.0,21.0,3.0,9.0,1.0,29.0,15.0,8.0,3.0,1.0,3.0,29.0,2.0,29.0,16.0,23.0,3.0,28.0,17.0,15.0,28.0,30.0,29.0,30.0,6.0,28.0,25.0,10.0,27.0,21.0,30.0,2.0,16.0,23.0,28.0,30.0
2013-14,1.0,4.0,27.0,4.0,22.0,28.0,28.0,16.0,22.0,25.0,17.0,13.0,16.0,7.0,23.0,1.0,8.0,27.0,12.0,27.0,5.0,17.0,17.0,6.0,24.0,7.0,1.0,27.0,4.0,27.0,7.0,3.0,3.0,14.0,9.0,6.0,14.0,18.0,15.0,23.0,8.0,30.0,23.0,4.0,19.0,4.0,25.0,14.0,13.0,25.0,7.0,24.0
2014-15,1.0,2.0,29.0,2.0,26.0,10.0,27.0,4.0,5.0,7.0,2.0,19.0,24.0,5.0,30.0,22.0,28.0,2.0,15.0,5.0,15.0,13.0,30.0,20.0,10.0,4.0,1.0,29.0,2.0,29.0,2.0,21.0,4.0,27.0,26.0,24.0,29.0,12.0,7.0,26.0,1.0,9.0,3.0,29.0,16.0,26.0,16.0,18.0,1.0,11.0,21.0,27.0
2015-16,1.0,3.0,28.0,3.0,9.0,8.0,19.0,9.0,2.0,3.0,7.0,26.0,24.0,21.0,12.0,11.0,9.0,13.0,21.0,28.0,27.0,24.0,17.0,12.0,8.0,4.0,1.0,28.0,3.0,28.0,21.0,23.0,12.0,21.0,29.0,28.0,23.0,5.0,7.0,10.0,19.0,19.0,22.0,18.0,10.0,3.0,4.0,7.0,14.0,19.0,23.0,27.0
2016-17,1.0,4.0,27.0,4.0,25.0,21.0,18.0,16.0,3.0,3.0,14.0,10.0,15.0,3.0,22.0,22.0,27.0,4.0,23.0,18.0,23.0,8.0,10.0,11.0,7.0,8.0,1.0,27.0,4.0,27.0,2.0,10.0,13.0,15.0,28.0,28.0,17.0,21.0,16.0,28.0,9.0,9.0,4.0,27.0,8.0,13.0,8.0,23.0,21.0,20.0,24.0,23.0
2017-18,1.0,1.0,30.0,1.0,18.0,22.0,27.0,15.0,1.0,1.0,13.0,2.0,3.0,9.0,24.0,10.0,18.0,26.0,19.0,5.0,15.0,26.0,19.0,11.0,2.0,1.0,1.0,30.0,1.0,30.0,9.0,9.0,4.0,16.0,30.0,30.0,17.0,29.0,28.0,22.0,7.0,21.0,12.0,4.0,11.0,26.0,16.0,5.0,12.0,19.0,29.0,30.0
2018-19,1.0,1.0,30.0,1.0,18.0,3.0,6.0,3.0,2.0,2.0,14.0,12.0,15.0,14.0,25.0,1.0,1.0,7.0,18.0,17.0,2.0,19.0,26.0,21.0,1.0,1.0,1.0,30.0,1.0,30.0,8.0,28.0,25.0,28.0,29.0,29.0,16.0,19.0,16.0,17.0,5.0,30.0,30.0,24.0,13.0,14.0,29.0,12.0,5.0,10.0,30.0,30.0
2019-20,21.0,3.0,28.0,3.0,22.0,8.0,19.0,1.0,24.0,21.0,21.0,16.0,10.0,28.0,9.0,16.0,12.0,11.0,8.0,4.0,1.0,30.0,16.0,8.0,16.0,5.0,9.0,28.0,2.0,28.0,9.0,22.0,12.0,30.0,7.0,10.0,10.0,15.0,21.0,2.0,22.0,15.0,19.0,20.0,22.0,27.0,30.0,1.0,15.0,23.0,15.0,26.0
2021-22,1.0,3.0,27.0,3.0,5.0,22.0,28.0,13.0,6.0,14.0,1.0,12.0,19.0,5.0,18.0,18.0,22.0,8.0,3.0,16.0,30.0,27.0,6.0,3.0,17.0,6.0,1.0,27.0,3.0,27.0,25.0,9.0,3.0,17.0,25.0,17.0,30.0,19.0,11.0,26.0,13.0,13.0,9.0,23.0,28.0,15.0,1.0,4.0,25.0,28.0,14.0,25.0
2022-23,1.0,4.0,27.0,4.0,25.0,3.0,22.0,1.0,18.0,25.0,4.0,27.0,24.0,26.0,17.0,15.0,19.0,2.0,11.0,11.0,20.0,20.0,27.0,23.0,12.0,6.0,1.0,27.0,4.0,27.0,3.0,28.0,9.0,30.0,13.0,6.0,27.0,4.0,7.0,5.0,14.0,15.0,12.0,29.0,20.0,20.0,11.0,10.0,4.0,8.0,19.0,25.0
2023-24,1.0,1.0,30.0,1.0,7.0,4.0,8.0,7.0,1.0,1.0,2.0,19.0,26.0,7.0,14.0,1.0,2.0,14.0,30.0,27.0,1.0,30.0,29.0,30.0,2.0,1.0,1.0,30.0,1.0,30.0,22.0,27.0,23.0,23.0,30.0,30.0,29.0,12.0,5.0,24.0,17.0,30.0,29.0,17.0,1.0,4.0,29.0,1.0,2.0,1.0,29.0,30.0
